Focus,ContentCode,Exemplar,Frequency,,,,,,,,,,,,,,,,,,,,,,,
CalculateAvgSpeed,DT_Graph _A_B.AverageSpeed,From time point A to time point B the driver drove at an average speed of 50 mph for one hour.,36,,,,,,,,,,,,,,,,,,,,,,,
CalculateAvgSpeed,DT_Graph _B_C.AverageSpeed,From time point B to time point C was the driver's speed remained at 0 mph for thirty minutes.,31,,,,,,,,,,,,,,,,,,,,,,,
CalculateAvgSpeed,DT_Graph _E_F.AverageSpeed,The driver's average speed from time point E to time point F was 40 mph for half an hour.,3,,,,,,,,,,,,,,,,,,,,,,,
CalculateAvgSpeed,DTGraph.Calculation:AverageSpeed,"Average speed can be calculated by dividing distance traveled by [*miles, elapsed time in hours]; in other words, speed is measured in miles per hour.",8,,,,,,,,,,,,,,,,,,,,,,,
CalculateAvgSpeed,DT_Graph _C_D.AverageSpeed,The driver's average speed from time point C to time point D was 50 mph for one hour.,2,,,,,,,,,,,,,,,,,,,,,,,
CalculateAvgSpeed,Unspecified,[Content code not specified],4,,,,,,,,,,,,,,,,,,,,,,,
CartesianGraphs,Different representations,"Different graphs display data in different ways, depending on their purpose.",4,,,,,,,,,,,,,,,,,,,,,,,
CartesianGraphs,Labeled_Points.Representation.Line_Segment,"A line segment consists of a starting point, an end point, and an infinite number of points in between.",4,,,,,,,,,,,,,,,,,,,,,,,
CartesianGraphs,Line_segments,"Line segments on Cartesian graphs represent relationships between two variables, one represented on the x [horizontal,*vertical] axis and one on the y [vertical, *horizontal] axis.",7,,,,,,,,,,,,,,,,,,,,,,,
CartesianGraphs,Unspecified,[Content code not specified],0,,,,,,,,,,,,,,,,,,,,,,,
Confirmation,Positive,Yes; I agree; that's probably true.,169,,,,,,,,,,,,,,,,,,,,,,,
Confirmation,Neutral,Okay,36,,,,,,,,,,,,,,,,,,,,,,,
Confirmation,Negative,No,35,,,,,,,,,,,,,,,,,,,,,,,
DRT_Relationships,Relationship.Speed.Time. Distance ,"Average speed is a ratio of [*distance traveled, *elapsed time, both distance traveled and elapsed time.]",7,,,,,,,,,,,,,,,,,,,,,,,
DRT_Relationships,Concepts.Relationships,Concepts can be related to each other in different ways.,2,,,,,,,,,,,,,,,,,,,,,,,
DRT_Relationships,Definition.ConstantMotion,Constant motion is a general term describing motion where the speed remains the same at any given point on the function.,2,,,,,,,,,,,,,,,,,,,,,,,
DRT_Relationships,Relationship.Speed.Slope,"On a distance-time graph, slope and speed represent [the same thing, *different things].",4,,,,,,,,,,,,,,,,,,,,,,,
DRT_Relationships,Rate.Specific.Term,"Speed is specific kind of rate, refering to the the distance traveled by a moving object over a given time period.",1,,,,,,,,,,,,,,,,,,,,,,,
DRT_Relationships,Unspecified,[Content code not specified],0,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Distance_Unchanged,"If distance traveled remains unchanged, the car must be (stopped, *still traveling).",11,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_B_C.Distance_Change,"For segment BC, distance traveled [*increased, *decreased, stayed the same].",58,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_B_C.Time_Change.Quantified,"For segment BC, elapsed time increased by 30 minutes.",40,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_B_C.Time_Distance_Change,"For segment BC, [*both elapsed time and distance traveled increased, elapsed time increased and distance traveled stayed the same, *distance traveled increased and elapsed time stayed the same].",43,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_A_B.Distance_Change.Quantified,"For segment AB, distance traveled increased by 50 miles in one hour.",36,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_B_C.Distance_Change.Quantified,"For segment BC, distance traveled increased by 0 miles.",29,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_B_C.Time_Change,"For segment BC, elapsed time has [increased, *decreased, *stayed the same].",38,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_B_C.Time_Distance_Change.Quantified,"For segment BC,  elapsed time increased by 30 minutes and distance traveled increased by 0 miles.",31,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_A_B.Time_Change.Quantified,"For segment AB,  elapsed time increased by one hour (60 minutes).",16,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_A_B.Distance_Change,"For segment AB, distance traveled [increased, *decreased, *stayed the same].",16,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_A_B.Time_Distance_Change.Quantified,"For segment AB,  elapsed time increased by one hour (60 minutes) and distance traveled increased by 50 miles.",13,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_A_B.Time_Distance.Rate_of_Change.,"For segment AB, the straight line implies elapsed time and distance traveled increased at a [constant rate, *variable rate]; in other words, the car was traveling at [roughly the same speed, *different speeds.]",15,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_A_B.Time_Distance_Change,"For segment AB, [both elapsed time and distance traveled increased, *only elapsed time increased, *only distance traveled increased].",21,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_A_B.Time_Change,"For segment AB, elapsed time [increased, *decreased, *stayed the same].",7,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_C_D.Distance_Change,"For segment CD, distance traveled [increased, *decreased, *stayed the same].",6,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_D_E.Distance_Change,"For segment DE, distance traveled [increased, *decreased, *stayed the same].",3,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_D_E.Time_Distance_Change,"For segment DE,   [both elapsed time and distance traveled increased, *only elapsed time increased, *only distance traveled increased].",0,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_E_F.Distance_Change.Quantified,"For segment EF, distance traveled increased by 20 miles.",1,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Representation.Changes,The distance-time graph represents changes in distance traveled and elapsed time.,0,,,,,,,,,,,,,,,,,,,,,,,
